pcr value,fetch time
1.0476492648348463,02-May-2024 11:33:47
1.138720180376622,02-May-2024 11:35:47
1.138720180376622,02-May-2024 11:35:47
1.138720180376622,02-May-2024 11:36:47
1.1505947517756414,02-May-2024 11:37:47
1.1499088903932515,02-May-2024 11:38:47
1.1505947517756414,02-May-2024 11:39:17
1.1687902408625912,02-May-2024 11:40:47
1.1687902408625912,02-May-2024 11:42:47
1.17061452411971,02-May-2024 11:43:47
1.17061452411971,02-May-2024 11:44:47
1.17061452411971,02-May-2024 11:45:47
1.17061452411971,02-May-2024 11:46:47
1.160015650263256,02-May-2024 11:47:47
1.160015650263256,02-May-2024 11:48:47
1.1572360336564107,02-May-2024 11:50:47
1.1572360336564107,02-May-2024 11:51:47
1.1572360336564107,02-May-2024 11:52:47
1.1635775288001622,02-May-2024 11:53:47
1.1635775288001622,02-May-2024 11:53:47
1.1660756395575311,02-May-2024 11:54:47
1.1644015713351,02-May-2024 11:55:47
1.1644015713351,02-May-2024 11:56:47
1.1644015713351,02-May-2024 11:58:47
1.165692792590963,02-May-2024 11:59:47
1.16464627600656,02-May-2024 12:00:47
1.1663026107434429,02-May-2024 12:00:47
1.171467690800056,02-May-2024 12:02:47
1.171467690800056,02-May-2024 12:03:47
1.171467690800056,02-May-2024 12:04:47
1.1805017505334463,02-May-2024 12:06:47
1.1790860464293254,02-May-2024 12:07:47
1.1790860464293254,02-May-2024 12:08:47
1.1790860464293254,02-May-2024 12:08:47
1.1790860464293254,02-May-2024 12:10:47
1.1768291555591088,02-May-2024 12:11:47
1.1768291555591088,02-May-2024 12:12:47
1.1811610671801176,02-May-2024 12:13:47
1.1811610671801176,02-May-2024 12:13:47
1.1811610671801176,02-May-2024 12:14:47
1.1811610671801176,02-May-2024 12:16:47
1.1802832292817955,02-May-2024 12:17:47
1.1802832292817955,02-May-2024 12:18:47
1.1776426556003865,02-May-2024 12:19:47
1.1776426556003865,02-May-2024 12:20:47
1.1776426556003865,02-May-2024 12:20:47
1.1776426556003865,02-May-2024 12:22:47
1.1734476984992468,02-May-2024 12:23:47
1.1601283373663611,02-May-2024 12:25:47
1.1601283373663611,02-May-2024 12:26:48
1.1601283373663611,02-May-2024 12:27:48
1.1601283373663611,02-May-2024 12:27:48
1.1610247286959616,02-May-2024 12:28:48
1.1620875999985278,02-May-2024 12:30:48
1.1680585624348374,02-May-2024 12:31:48
1.1680585624348374,02-May-2024 12:32:48
1.1680585624348374,02-May-2024 12:33:48
1.1670193984888118,02-May-2024 12:34:48
1.1670193984888118,02-May-2024 12:36:18
1.1680916287902303,02-May-2024 12:36:48
1.157510292039584,02-May-2024 12:37:48
1.157510292039584,02-May-2024 12:38:48
1.1329353510730031,02-May-2024 12:44:48
1.1329353510730031,02-May-2024 12:45:48
1.125803477903454,02-May-2024 12:47:48
1.119163408568932,02-May-2024 13:02:48
1.1194713470993478,02-May-2024 13:08:48
1.126475400344192,02-May-2024 13:13:48
1.1136154621527503,02-May-2024 13:18:48
1.1103188576977685,02-May-2024 13:23:48
1.1153797351465264,02-May-2024 13:28:48
1.0766103845611577,02-May-2024 13:54:48
1.0519965887008873,02-May-2024 14:00:49
1.0512990585908055,02-May-2024 14:05:49
1.0736935777835823,02-May-2024 14:10:49
1.0669446359017931,02-May-2024 14:14:49
1.0417339953095124,02-May-2024 14:20:19
1.0113261600917016,02-May-2024 14:25:49
0.9984132172163488,02-May-2024 14:30:49
1.0042143945812048,02-May-2024 14:35:49
0.986823693291544,02-May-2024 14:39:49
1.005560749866432,02-May-2024 14:45:49
1.0410530161952396,02-May-2024 14:50:49
1.0578041944365475,02-May-2024 14:54:49
1.047625508197432,02-May-2024 15:00:49
1.031202459944975,02-May-2024 15:05:49
1.0349877786766175,02-May-2024 15:10:49
1.080537939231668,02-May-2024 15:14:49
1.028505861815869,02-May-2024 15:21:49
0.9945569452018528,02-May-2024 15:26:50
1.0409119285689326,02-May-2024 15:30:00
1.0409119285689326,02-May-2024 15:30:00
1.0409119285689326,02-May-2024 15:30:00
1.0409119285689326,02-May-2024 15:30:00
13.198704256599676,15-Jul-2024 11:29:16
13.227759686629856,15-Jul-2024 11:33:46
1.8111025443330764,15-Jul-2024 11:35:46
1.81287308803356,15-Jul-2024 11:36:46
1.81287308803356,15-Jul-2024 11:36:46
1.81287308803356,15-Jul-2024 11:36:46
1.81287308803356,15-Jul-2024 11:36:46
1.81287308803356,15-Jul-2024 11:36:46
1.81287308803356,15-Jul-2024 11:36:46
1.8128730880335597,15-Jul-2024 11:36:46
